sentiment_label,rank,phrase,association_score,relevance_score,reference_record_count,hard_label_record_count,effective_reference_weight,probability_fallback_used,selection_basis,method,interpretation
Bearish,1,apple,0.006212305302219445,0.057297194230420685,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,2,alphabet,0.0028899713141821853,0.046655100277004764,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,3,filed pursuant,0.0024516128290292625,0.013873741581182326,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,4,filed,0.0024516128290292625,0.013873741581182326,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,5,rule,0.0023952340105403667,0.014223996457497372,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,6,pursuant rule,0.0023839976898972805,0.01395365236297505,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,7,pursuant,0.0023692326803592748,0.014142027739829897,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,8,apple filed,0.0020939055877733544,0.0104387005755337,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,9,apple form,0.0018315257571208422,0.019370999421397826,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,10,rule 424,0.0015642250283331577,0.008354532448073817,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,11,424,0.0015482776270248364,0.00858061211093474,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
Bearish,12,rule 424b2,0.00128362872718598,0.007453852683637755,1381,0,7.5876266687000005,True,positive_tfidf_contrast,reference_only_probability_weighted_tfidf_difference,Reference-only phrase association; probability fallback uses verified sentiment probabilities and is not causality.
